Region,Building type,Number of rooms,Form of ownership of plot,Year,Information,value
Greater Helsinki,Blocks of flats,One-room flat,Rented plot,2023,Price per square meter (eur/m2),6574.0
Greater Helsinki,Blocks of flats,One-room flat,Rented plot,2024,Number,91.0
Greater Helsinki,Blocks of flats,One-room flat,Rented plot,2024,Price per square meter (eur/m2),6551.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2015,Number,228.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2015,Price per square meter (eur/m2),5007.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2016,Number,521.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2016,Price per square meter (eur/m2),5707.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2017,Number,871.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2017,Price per square meter (eur/m2),5464.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2018,Number,994.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2018,Price per square meter (eur/m2),5951.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2019,Number,1112.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2019,Price per square meter (eur/m2),6187.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2020,Number,885.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2020,Price per square meter (eur/m2),6903.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2021,Number,1012.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2021,Price per square meter (eur/m2),7483.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2022,Number,258.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2022,Price per square meter (eur/m2),7221.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2023,Number,92.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2023,Price per square meter (eur/m2),6932.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2024,Number,196.0
Greater Helsinki,Blocks of flats,One-room flat,Plot forms in total,2024,Price per square meter (eur/m2),7070.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2015,Number,353.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2015,Price per square meter (eur/m2),5314.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2016,Number,543.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2016,Price per square meter (eur/m2),5582.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2017,Number,575.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2017,Price per square meter (eur/m2),5975.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2018,Number,717.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2018,Price per square meter (eur/m2),6061.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2019,Number,686.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2019,Price per square meter (eur/m2),6517.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2020,Number,675.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2020,Price per square meter (eur/m2),7144.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2021,Number,525.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2021,Price per square meter (eur/m2),7297.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2022,Number,195.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2022,Price per square meter (eur/m2),7514.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2023,Number,95.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2023,Price per square meter (eur/m2),7352.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2024,Number,63.0
Greater Helsinki,Blocks of flats,Two-room flat,Own plot,2024,Price per square meter (eur/m2),6937.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2015,Number,152.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2015,Price per square meter (eur/m2),4633.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2016,Number,244.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2016,Price per square meter (eur/m2),4672.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2017,Number,727.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2017,Price per square meter (eur/m2),4894.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2018,Number,514.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2018,Price per square meter (eur/m2),4911.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2019,Number,595.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2019,Price per square meter (eur/m2),5213.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2020,Number,670.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2020,Price per square meter (eur/m2),5535.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2021,Number,679.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2021,Price per square meter (eur/m2),5943.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2022,Number,260.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2022,Price per square meter (eur/m2),5995.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2023,Number,78.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2023,Price per square meter (eur/m2),5675.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2024,Number,97.0
Greater Helsinki,Blocks of flats,Two-room flat,Rented plot,2024,Price per square meter (eur/m2),6102.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2015,Number,505.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2015,Price per square meter (eur/m2),5107.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2016,Number,793.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2016,Price per square meter (eur/m2),5285.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2017,Number,1319.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2017,Price per square meter (eur/m2),5389.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2018,Number,1231.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2018,Price per square meter (eur/m2),5581.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2019,Number,1282.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2019,Price per square meter (eur/m2),5920.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2020,Number,1347.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2020,Price per square meter (eur/m2),6361.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2021,Number,1217.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2021,Price per square meter (eur/m2),6532.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2022,Number,457.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2022,Price per square meter (eur/m2),6663.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2023,Number,173.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2023,Price per square meter (eur/m2),6614.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2024,Number,160.0
Greater Helsinki,Blocks of flats,Two-room flat,Plot forms in total,2024,Price per square meter (eur/m2),6433.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2015,Number,466.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2015,Price per square meter (eur/m2),5388.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2016,Number,517.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2016,Price per square meter (eur/m2),5392.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2017,Number,462.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2017,Price per square meter (eur/m2),5756.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2018,Number,569.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2018,Price per square meter (eur/m2),5735.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2019,Number,669.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2019,Price per square meter (eur/m2),6558.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2020,Number,776.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2020,Price per square meter (eur/m2),6674.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2021,Number,725.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2021,Price per square meter (eur/m2),7194.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2022,Number,272.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2022,Price per square meter (eur/m2),6987.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2023,Number,100.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2023,Price per square meter (eur/m2),6992.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2024,Number,125.0
Greater Helsinki,Blocks of flats,Three-room flat+,Own plot,2024,Price per square meter (eur/m2),6627.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2015,Number,207.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2015,Price per square meter (eur/m2),4427.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2016,Number,306.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2016,Price per square meter (eur/m2),4202.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2017,Number,625.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2017,Price per square meter (eur/m2),4342.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2018,Number,540.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2018,Price per square meter (eur/m2),4571.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2019,Number,618.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2019,Price per square meter (eur/m2),4758.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2020,Number,551.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2020,Price per square meter (eur/m2),5121.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2021,Number,1016.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2021,Price per square meter (eur/m2),5382.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2022,Number,422.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2022,Price per square meter (eur/m2),5692.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2023,Number,89.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2023,Price per square meter (eur/m2),5573.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2024,Number,142.0
Greater Helsinki,Blocks of flats,Three-room flat+,Rented plot,2024,Price per square meter (eur/m2),5974.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2015,Number,673.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2015,Price per square meter (eur/m2),5127.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2016,Number,828.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2016,Price per square meter (eur/m2),4972.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2017,Number,1096.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2017,Price per square meter (eur/m2),4985.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2018,Number,1112.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2018,Price per square meter (eur/m2),5178.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2019,Number,1287.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2019,Price per square meter (eur/m2),5735.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2020,Number,1331.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2020,Price per square meter (eur/m2),6045.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2021,Number,1748.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2021,Price per square meter (eur/m2),6185.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2022,Number,694.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2022,Price per square meter (eur/m2),6215.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2023,Number,189.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2023,Price per square meter (eur/m2),6335.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2024,Number,268.0
Greater Helsinki,Blocks of flats,Three-room flat+,Plot forms in total,2024,Price per square meter (eur/m2),6283.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2015,Number,2746.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2015,Price per square meter (eur/m2),3323.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2016,Number,3310.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2016,Price per square meter (eur/m2),3597.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2017,Number,4455.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2017,Price per square meter (eur/m2),3736.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2018,Number,3729.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2018,Price per square meter (eur/m2),3826.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2019,Number,3296.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2019,Price per square meter (eur/m2),3934.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2020,Number,2728.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2020,Price per square meter (eur/m2),3966.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2021,Number,3021.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2021,Price per square meter (eur/m2),4083.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2022,Number,1892.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2022,Price per square meter (eur/m2),4254.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2023,Number,722.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2023,Price per square meter (eur/m2),4093.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2024,Number,436.0
Whole country excluding Greater Helsinki,Building types total,Total,Own plot,2024,Price per square meter (eur/m2),4155.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2015,Number,1805.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2015,Price per square meter (eur/m2),2943.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2016,Number,2624.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2016,Price per square meter (eur/m2),3279.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2017,Number,3800.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2017,Price per square meter (eur/m2),3436.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2018,Number,3451.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2018,Price per square meter (eur/m2),3576.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2019,Number,3588.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2019,Price per square meter (eur/m2),3633.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2020,Number,2930.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2020,Price per square meter (eur/m2),3794.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2021,Number,3131.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2021,Price per square meter (eur/m2),3952.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2022,Number,2011.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2022,Price per square meter (eur/m2),4005.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2023,Number,813.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2023,Price per square meter (eur/m2),4001.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2024,Number,634.0
Whole country excluding Greater Helsinki,Building types total,Total,Rented plot,2024,Price per square meter (eur/m2),4003.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2015,Number,4551.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2015,Price per square meter (eur/m2),3178.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2016,Number,5935.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2016,Price per square meter (eur/m2),3458.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2017,Number,8260.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2017,Price per square meter (eur/m2),3602.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2018,Number,7180.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2018,Price per square meter (eur/m2),3712.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2019,Number,6904.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2019,Price per square meter (eur/m2),3785.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2020,Number,5684.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2020,Price per square meter (eur/m2),3880.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2021,Number,6156.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2021,Price per square meter (eur/m2),4018.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2022,Number,3907.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2022,Price per square meter (eur/m2),4131.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2023,Number,1535.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2023,Price per square meter (eur/m2),4049.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2024,Number,1072.0
Whole country excluding Greater Helsinki,Building types total,Total,Plot forms in total,2024,Price per square meter (eur/m2),4072.0
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2015,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2015,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2016,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2016,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2017,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2017,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2018,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2018,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2019,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2019,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2020,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2020,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2021,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2021,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2022,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2022,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2023,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2023,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2024,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Own plot,2024,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2015,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2015,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2016,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2016,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2017,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2017,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2018,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2018,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2019,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2019,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2020,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2020,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2021,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2021,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2022,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2022,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2023,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2023,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2024,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Rented plot,2024,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2015,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2015,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2016,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2016,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2017,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2017,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2018,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2018,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2019,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2019,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2020,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2020,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2021,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2021,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2022,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2022,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2023,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2023,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2024,Number,
Whole country excluding Greater Helsinki,Building types total,One-room flat,Plot forms in total,2024,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2015,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2015,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2016,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2016,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2017,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2017,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2018,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2018,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2019,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2019,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2020,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2020,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2021,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2021,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2022,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2022,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2023,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2023,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2024,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Own plot,2024,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2015,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2015,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2016,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2016,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2017,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2017,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2018,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2018,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2019,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2019,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2020,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2020,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2021,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2021,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2022,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2022,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2023,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2023,Price per square meter (eur/m2),
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2024,Number,
Whole country excluding Greater Helsinki,Building types total,Two-room flat,Rented plot,2024,Price per square meter (eur/m2),
