Region,Building type,Number of rooms,Form of ownership of plot,Year,Information,value
Whole country,Building types total,Three-room flat+,Own plot,2018,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2019,Number,
Whole country,Building types total,Three-room flat+,Own plot,2019,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2020,Number,
Whole country,Building types total,Three-room flat+,Own plot,2020,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2021,Number,
Whole country,Building types total,Three-room flat+,Own plot,2021,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2022,Number,
Whole country,Building types total,Three-room flat+,Own plot,2022,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2023,Number,
Whole country,Building types total,Three-room flat+,Own plot,2023,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Own plot,2024,Number,
Whole country,Building types total,Three-room flat+,Own plot,2024,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2015,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2015,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2016,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2016,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2017,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2017,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2018,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2018,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2019,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2019,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2020,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2020,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2021,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2021,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2022,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2022,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2023,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2023,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Rented plot,2024,Number,
Whole country,Building types total,Three-room flat+,Rented plot,2024,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2015,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2015,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2016,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2016,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2017,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2017,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2018,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2018,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2019,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2019,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2020,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2020,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2021,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2021,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2022,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2022,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2023,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2023,Price per square meter (eur/m2),
Whole country,Building types total,Three-room flat+,Plot forms in total,2024,Number,
Whole country,Building types total,Three-room flat+,Plot forms in total,2024,Price per square meter (eur/m2),
Whole country,Terraced houses,Total,Own plot,2015,Number,903.0
Whole country,Terraced houses,Total,Own plot,2015,Price per square meter (eur/m2),3062.0
Whole country,Terraced houses,Total,Own plot,2016,Number,813.0
Whole country,Terraced houses,Total,Own plot,2016,Price per square meter (eur/m2),3110.0
Whole country,Terraced houses,Total,Own plot,2017,Number,993.0
Whole country,Terraced houses,Total,Own plot,2017,Price per square meter (eur/m2),3248.0
Whole country,Terraced houses,Total,Own plot,2018,Number,1024.0
Whole country,Terraced houses,Total,Own plot,2018,Price per square meter (eur/m2),3358.0
Whole country,Terraced houses,Total,Own plot,2019,Number,823.0
Whole country,Terraced houses,Total,Own plot,2019,Price per square meter (eur/m2),3583.0
Whole country,Terraced houses,Total,Own plot,2020,Number,767.0
Whole country,Terraced houses,Total,Own plot,2020,Price per square meter (eur/m2),3591.0
Whole country,Terraced houses,Total,Own plot,2021,Number,909.0
Whole country,Terraced houses,Total,Own plot,2021,Price per square meter (eur/m2),3903.0
Whole country,Terraced houses,Total,Own plot,2022,Number,589.0
Whole country,Terraced houses,Total,Own plot,2022,Price per square meter (eur/m2),4042.0
Whole country,Terraced houses,Total,Own plot,2023,Number,213.0
Whole country,Terraced houses,Total,Own plot,2023,Price per square meter (eur/m2),3666.0
Whole country,Terraced houses,Total,Own plot,2024,Number,171.0
